CODIGO_ACTIVIDAD,ANIO,H000B,H000C,H011B,H011C,H011D,H012B,H012C,H012D,H300B,H300C,H300D,H010B,H010C,H000D,I000B,I000C,I000D,I100B,I100C,I100D,I200B,I200C,I200D,H000E,H000F,I000E,I000F,J000A,J000B,J000C,J010A,J200A,J300A,J400A,J500A,J600A,K411A_K421A,K950A,K100A,K200A,K412A,K530A_K531A,K590A,K610A,K620A,K630A,K810A,K820A,K833A,K500A,K050A_K800A,K060A,K964A,K931A,K999A,M210A,M220A,M230A,M530A_M531A,M590A,M050A_M633A,M999A,M200A,M500A,M100A,M931A,Q100A,Q200A,Q300A,Q400A,Q900A,ESTATUS
4811,2018,11816,7806,9262,6220,41154,2554,1586,11349,0,0,0,,,52503,3812,3502,15509,3810,3501,15501,2,1,8,,,,,9689937,,,5360530,2359070,827789,1127758,14790,152790,56303206,14976969,,640438,38980,27516529,1406287,5686094,36998,1048278,1132916,5475395,6577545,,13476,190217,0,,15171009,121009938,9429866,34443,987920,0,0,25219787,,,,,11100168,469441,858508,97190,1974723,Cifras definitivas
4812,2018,1305,285,1035,229,3583,229,24,780,41,32,186,,,4549,659,261,1894,631,261,1847,28,0,47,,,,,1416651,,,895911,226748,112657,155213,26122,0,1999648,1535343,,118897,5565,153237,156182,243770,364,12862,21561,31647,136183,,18559,83863,0,,1226061,11540935,3480720,201822,265458,10387,114,388708,,,,,17856748,504098,792375,119504,183373,Cifras definitivas
4821,2018,7620,2447,6974,12,14817,646,2435,6533,0,0,0,,,21350,4237,185,9375,4233,184,9365,4,1,10,,,,,6473052,,,2066171,2324643,1044473,164778,872987,39986,9723394,3426309,,950921,100013,6283643,178284,4923239,4728,62411,32471,208596,451679,,9595,427355,1532,,6186840,232125,60732039,0,127081,114644,0,2497018,,,,,14499808,13029701,1357450,1363182,36478819,Cifras definitivas
4841,2018,121335,15002,96477,1192,251541,23209,13545,94687,1648,265,4581,,,350808,10690,2816,31934,9812,2489,29221,878,327,2713,,,,,24397050,,,14239949,5599530,3871542,321351,364679,93641,47661001,11282400,,762593,385595,4155499,2448750,1627170,163617,461083,106011,644420,10239512,,372769,4005369,34208,,10172124,0,165388709,13076,1653663,128533,183715,1599119,,,,,108042077,11246623,3615954,11411149,2032441,Cifras definitivas
4842,2018,72963,10058,60171,1461,154557,10873,8376,48018,1919,222,4747,,,207322,11513,1480,34162,10376,1297,31015,1137,183,3147,,,,,16200234,,,9910659,3334656,2548964,152534,253421,100464,37602299,8710980,,1572860,128730,10548367,1390037,1701400,95390,582878,79536,378701,7705376,,217620,3058859,3923,,7638211,0,121167202,0,92822,55045,274059,1704585,,,,,97469025,4606930,18729130,932655,1763258,Cifras definitivas
4851,2018,93253,8667,79223,3722,221007,9642,4631,37517,4388,314,13917,,,272441,17848,945,56329,3581,745,9693,14267,200,46636,,,,,12559485,,,8432367,1763209,2063571,284394,15944,236337,24078255,4352405,,1105623,1158635,133330,413136,761739,811867,316481,68707,348395,558155,,169802,690028,14308,,2077660,66445336,0,0,459362,80394,4425,1899054,,,,,97912029,2966030,374124,1514306,1202899,Cifras definitivas
4852,2018,37088,4338,33368,2244,87098,3677,2080,13812,43,14,155,,,101065,3666,1722,11829,3343,1693,10815,323,29,1014,,,,,9439800,,,6864590,691186,1502047,220030,161947,110369,15195256,4564985,,536750,175799,235000,244550,949977,71375,264264,70142,153371,1656561,,41297,213223,6025,,8017388,44933205,0,797406,190726,19863,0,2004833,,,,,32448354,3041194,187074,451761,409028,Cifras definitivas
4854,2018,20212,3210,19538,2525,62022,501,649,3466,174,36,532,,,66021,1080,14,3217,1067,14,3179,13,0,38,,,,,3383575,,,2442601,139943,770668,28015,2349,493,4993476,1123809,,54535,49408,849278,92429,2868,713,166186,41185,72158,55044,,95041,173677,2553,,1005666,17772859,0,0,210534,829,3213,254576,,,,,18226623,936339,246876,822558,152949,Cifras definitivas
4881,2018,29413,6845,,,,,,,71,60,0,29342,6785,0,2611,1005,0,2320,875,0,291,130,0,,,,,10448468,,,,,,,,,618367,,3357,6630649,973057,,,331455,11401,,46921,237709,,1156628,,,,380137,6551976,,,,,,,3680375,46375151,8119890,17579,2693,9752878,11222043,1026448,1950791,26117327,Cifras definitivas
4883,2018,11156,1921,,,,,,,0,0,0,11156,1921,0,174,98,0,171,97,0,3,1,0,,,,,3171332,,,,,,,,,772956,,28105,2850433,236793,,,88190,7946,,51025,56513,,800750,,,,126848,2579049,,,,,,,658130,21369697,568113,23229,0,13372146,10775523,306110,442173,1276026,Cifras definitivas
